Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Tapanuli Utara,21527,39,-,2263,52,2137,7,46,374,100,110,160,4746,-,1300,180,856,93,-,14,-,32,135,125,223,-,-,116,557,23,95,3929,301,76,20,221,16,2992,57,26,104
Toba Samosir,23355,37,-,2130,26,1712,17,42,387,76,40,227,6248,-,1660,340,1358,3,-,15,-,-,192,191,177,10,21,15,681,68,334,4484,163,33,-,37,13,2176,177,32,235
Labuhan Batu,19266,50,-,1346,22,990,31,263,3872,104,32,945,1359,-,491,1463,1120,56,4,474,170,32,802,1194,390,307,602,32,206,25,28,2058,119,3,-,12,115,135,380,31,5
Asahan,19014,124,-,2410,-,606,41,284,5115,45,7,556,448,-,287,1518,881,17,-,71,69,193,1044,901,378,223,931,94,254,26,107,1173,226,37,1,7,84,345,437,39,36
Simalungun,17789,65,-,1173,11,2069,14,119,2005,13,1,158,1196,-,1041,1898,1773,-,-,90,19,-,186,486,177,44,316,5,784,54,84,2749,170,25,28,-,16,648,295,13,64
Dairi,17436,46,-,816,156,1795,12,4,409,1,-,121,3584,-,1025,828,652,7,-,10,16,47,92,191,95,1,-,92,432,27,151,3812,252,39,-,24,69,2460,166,-,2
Karo,25197,29,-,1362,12,1781,125,133,857,46,-,16,729,-,2479,5340,1665,160,-,17,27,-,110,893,260,611,161,39,951,33,100,5048,82,-,-,55,142,831,940,22,142
Deli Serdang,20791,281,-,2049,145,2957,1,467,2749,78,41,308,495,-,636,1975,1568,266,-,96,90,183,443,1411,593,54,463,151,257,36,57,2294,28,15,4,12,119,219,191,19,39
Langkat,16450,232,-,1606,67,1733,48,163,2051,77,227,446,223,-,499,1186,1024,74,26,155,24,52,1275,1565,252,226,130,170,361,33,24,2136,49,35,2,1,65,142,57,16,0
Nias Selatan,12109,14,-,4199,93,1141,189,418,1044,134,-,-,19,-,5,259,429,62,-,-,-,12,35,59,267,-,-,8,7,26,671,1346,27,4,-,-,50,1458,-,60,73
Humbang Hasundutan,20806,9,-,1233,380,2050,3,74,503,-,-,15,4260,-,1129,799,483,9,-,-,19,-,170,119,346,-,48,1,205,79,318,3712,210,5,4,73,13,4254,86,8,188
Pakpak Bharat,17631,-,-,750,531,1859,-,10,143,57,-,37,3169,-,1162,1024,471,11,-,39,-,4,131,359,296,176,17,26,422,28,82,2017,104,-,1,22,46,4409,124,-,104
Samosir,22405,-,-,703,7,852,24,106,219,72,-,238,9267,-,831,362,350,-,-,-,-,-,483,46,45,8,-,59,262,27,248,4249,746,186,5,133,67,2546,54,7,201
Serdang Bedagai,16372,97,-,1401,34,1012,28,234,4298,86,5,442,107,-,171,1054,970,56,-,40,21,101,1105,1268,240,160,292,165,285,12,22,1696,62,14,1,-,156,508,197,11,21
