Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Tana Tidung,25520,161,-,740,52,50,-,9,628,498,6670,626,1198,-,9,166,649,2116,39,514,187,179,4013,5195,27,202,152,441,25,-,-,61,-,-,6,25,90,548,209,-,34
Nunukan,23590,201,-,1178,617,803,108,604,2153,251,6039,759,570,-,12,720,363,504,125,549,131,87,3515,1468,615,274,164,106,113,75,76,277,-,-,90,21,98,845,42,27,9
Kota Tarakan,19562,176,-,400,316,510,46,52,579,66,4560,67,1337,-,32,20,163,1662,107,44,502,62,3414,3137,347,649,243,96,-,1,-,53,18,6,60,-,184,517,105,-,32
Bolaang Mongondow,15697,1170,-,1302,375,4357,180,1166,785,207,3,42,1811,-,29,160,54,342,9,-,-,-,303,283,359,5,37,93,36,62,1493,723,143,-,-,-,110,41,-,17,-
Minahasa,17329,2269,-,309,1703,4166,36,2072,450,332,-,125,2427,-,34,46,30,-,-,-,-,-,108,18,157,-,-,94,15,12,2166,513,80,-,-,-,47,97,-,-,23
Kepulauan Sangihe,18957,409,-,3359,778,3391,170,5075,1765,77,-,-,141,-,7,348,2,819,161,-,2,4,1088,109,282,42,-,4,86,-,592,36,41,-,-,-,35,107,-,23,5
Kepulauan Talaud,20428,1750,-,1705,903,5718,136,1993,2190,253,30,-,704,-,-,14,6,1561,969,70,-,58,705,274,327,46,118,-,31,152,166,66,242,-,-,8,173,58,-,-,-
Minahasa Selatan,18344,1200,-,1283,2280,4782,154,2095,483,238,20,54,1552,-,23,55,-,212,33,-,-,29,488,107,394,15,18,14,29,85,1479,861,97,-,-,-,44,218,-,-,-
Minahasa Utara,22162,1672,-,1797,1219,5283,144,1670,1622,210,20,154,2291,-,63,104,21,656,249,24,177,313,1490,337,645,163,139,197,11,115,379,349,70,13,-,1,64,101,198,198,-
Bolaang Mongondow Utara,16203,1834,-,1616,149,3431,194,1749,1183,864,70,102,936,-,-,15,23,834,243,15,35,5,492,368,156,166,17,66,-,8,555,951,38,-,-,32,32,23,-,-,-
Siau Tagulandang Biaro,15514,442,-,3721,440,3033,105,3176,997,2,-,15,178,-,-,-,-,991,61,-,-,-,1726,41,410,26,-,39,-,6,42,-,-,-,1,-,40,22,-,-,-
Minahasa Tenggara,16826,910,-,961,2048,4318,87,1755,1107,51,-,205,2515,-,245,117,-,259,15,-,-,-,950,165,153,147,-,104,-,-,372,193,-,6,-,-,54,64,-,26,-
Bolaang Mongondow Selatan,15636,1336,-,2120,148,3199,129,4647,513,245,1,-,79,-,-,-,36,458,205,-,-,40,73,272,1062,101,-,-,-,32,244,634,24,-,2,-,13,4,-,20,-
Bolaang Mongondow Timur,18420,1402,-,761,736,4152,258,1866,1961,653,30,23,1955,-,48,237,11,432,61,-,-,149,452,394,439,223,-,6,9,25,1500,386,70,27,-,-,117,37,-,-,-
Kota Manado,20611,978,-,1465,2091,5677,101,2228,1971,281,125,46,2426,-,111,-,-,244,115,-,-,60,1004,194,532,13,-,-,10,9,333,280,23,-,-,16,149,113,11,5,-
Kota Bitung,18852,674,-,2023,1133,4748,61,4471,801,466,-,3,1459,-,40,-,21,297,45,-,-,-,607,112,705,28,-,55,10,8,684,125,3,-,-,7,85,134,-,19,28
Kota Tomohon,21567,850,-,638,1869,5665,59,4327,841,341,10,12,1936,-,4,4,-,3,-,-,-,-,181,85,177,-,-,1,18,3,2442,1473,138,18,-,-,81,390,-,-,2
Kota Kotamobagu,13896,204,-,484,354,2174,111,2069,1642,254,8,-,912,-,40,557,-,169,46,-,6,-,59,778,151,-,-,13,3,4,3077,603,39,-,2,5,32,76,4,15,4
Banggai Kepulauan,13994,630,-,1444,75,1921,153,2687,1606,38,31,4,28,-,4,3,12,1017,870,-,4,5,2708,40,402,37,-,25,-,5,82,83,21,-,-,-,-,60,-,-,-
Banggai,14788,887,-,4381,251,1882,271,1854,1054,174,131,90,325,-,-,39,26,265,110,-,-,57,1184,402,551,127,-,7,1,2,297,310,-,-,-,-,6,100,4,-,-
Morowali,23703,930,-,3114,409,3676,142,1390,3917,552,1305,167,205,-,1,-,139,2611,698,-,-,246,991,912,913,284,132,2,220,34,302,279,7,-,-,-,-,4,3,117,-
Poso,17315,588,-,180,451,1665,29,6586,1354,32,749,284,2279,-,410,12,632,-,55,-,-,-,470,255,156,5,17,-,19,33,101,570,71,-,26,3,73,209,-,-,-
Donggala,13054,770,-,706,113,3184,96,2965,680,236,452,71,149,-,31,21,27,372,225,-,11,13,1301,196,394,34,25,23,-,21,101,309,114,3,5,-,24,343,2,11,24
Toli-Toli,13501,583,-,276,496,3301,153,1299,607,329,299,57,163,-,-,15,41,241,386,-,-,6,3382,709,433,70,32,102,-,2,12,287,22,-,-,-,18,153,22,-,7
Buol,12062,719,-,101,140,3079,153,3155,552,270,193,133,119,-,-,105,5,566,246,11,-,7,1771,148,9,3,9,31,2,14,12,273,106,-,-,-,14,104,4,-,7
Parigi Moutong,13220,639,-,664,59,2413,96,3798,899,426,773,18,405,-,-,-,25,147,267,-,16,-,330,753,704,87,22,-,6,16,18,417,27,2,55,4,27,88,1,16,1
Tojo Una-Una,13775,850,-,1202,214,2595,88,5446,353,228,37,21,127,-,-,22,14,508,532,4,-,-,319,280,430,25,13,16,7,9,5,144,75,-,1,-,33,175,-,1,2
Sigi,10201,1180,-,551,282,1450,8,742,659,247,979,156,1134,-,46,21,169,20,-,-,-,12,459,201,248,15,3,9,93,15,62,775,84,-,-,2,195,223,117,-,46
Banggai Laut,14038,638,-,283,157,3628,188,1766,4087,17,69,8,-,-,-,-,-,442,800,-,14,120,738,31,724,138,8,16,78,2,3,-,14,-,-,-,8,26,29,6,-
Morowali Utara,22505,2309,-,387,201,3405,339,929,4864,926,1053,2099,1759,-,245,23,342,141,316,13,11,4,758,489,716,267,11,1,85,6,66,491,54,-,16,32,31,114,-,-,-
Kota Palu,14870,2204,-,573,335,1193,138,4331,1062,295,722,20,315,-,4,41,6,272,366,-,-,31,370,971,890,8,-,46,14,38,47,379,5,1,0,-,13,111,55,13,-
Kepulauan Selayar,15441,295,-,233,107,2141,39,1017,1830,812,440,-,2,-,-,-,-,1829,1619,14,28,16,2634,776,486,166,36,138,7,5,38,190,22,-,-,-,19,473,-,30,-
Bulukumba,16823,400,-,834,264,2203,163,1055,2265,881,2205,31,484,-,43,193,77,331,318,15,6,33,1545,1151,953,179,56,95,16,47,231,495,-,5,36,-,9,167,16,19,-
Bantaeng,14395,353,-,59,30,1041,15,884,2082,1441,2876,10,133,-,-,26,78,45,142,-,-,-,2801,472,186,9,6,84,40,32,77,935,24,13,22,27,-,300,91,53,8
Jeneponto,14025,230,-,326,79,1386,23,330,1604,1120,2970,25,487,-,108,154,44,138,250,13,334,4,1477,983,231,94,38,236,7,6,92,777,26,2,334,0,35,28,11,14,8
Takalar,14248,72,-,36,242,1031,11,1024,652,1061,2983,44,215,-,3,307,27,434,843,-,157,1,2382,1090,325,151,22,113,-,4,27,410,147,5,36,3,-,340,14,19,18
Gowa,13881,211,-,243,182,1506,102,270,1695,1289,3282,34,206,-,18,703,48,406,152,11,-,-,1052,864,209,24,10,73,1,65,173,483,68,-,55,-,59,367,3,9,6
Sinjai,14179,435,-,562,60,1941,152,1354,1231,1204,1177,19,173,-,3,72,24,154,155,-,25,-,2755,922,264,49,26,79,16,110,59,896,93,-,-,-,32,111,-,28,-
Maros,18160,552,-,68,214,1972,64,315,1976,1617,4725,190,994,-,64,629,34,207,96,-,-,15,885,1206,343,175,36,346,63,17,163,506,163,12,75,10,30,354,31,8,6
Pangkajene dan Kepulauan,19097,356,-,35,220,1388,38,472,1811,1565,4204,147,1379,-,60,770,28,241,544,-,-,-,1680,1834,631,290,71,111,24,16,28,368,55,32,147,8,89,421,14,17,4
Barru,17966,562,-,324,199,2080,17,507,2972,1208,2636,115,437,-,1,109,4,78,797,-,1,-,1869,1642,633,346,82,48,36,1,126,700,54,-,60,4,8,298,-,11,3
Bone,14483,110,-,789,293,2001,63,151,916,919,1873,137,530,-,22,84,50,255,214,16,57,20,2640,1405,356,161,37,8,-,5,536,378,53,46,32,15,6,256,37,14,-
Soppeng,15466,126,-,289,273,1411,31,160,393,157,3598,554,2524,-,102,422,14,146,41,43,-,1,1914,983,250,169,1,22,7,25,194,279,17,95,30,91,48,873,127,5,50
Wajo,15756,79,-,254,158,905,16,2,495,177,3309,746,3329,-,223,237,25,279,104,38,-,6,1836,1911,165,267,35,24,8,10,53,255,-,18,125,116,34,367,149,-,1
Sidenreng Rappang,16084,101,-,423,264,1779,7,67,205,178,3262,484,726,-,204,2237,105,16,18,38,4,-,1386,1907,441,76,-,169,8,13,430,585,11,-,82,60,30,731,27,-,10
Pinrang,15143,142,-,666,144,2126,143,227,891,426,2953,287,980,-,126,1088,40,263,93,-,-,-,1141,1441,186,50,10,80,11,7,407,421,41,-,156,14,15,499,51,-,16
Enrekang,12410,1263,-,35,18,555,14,306,287,358,3118,64,62,-,125,853,8,19,32,-,-,17,2306,490,103,-,-,64,-,18,246,830,103,17,96,-,35,879,23,-,66
Luwu,13817,89,-,740,145,2233,90,36,1180,843,2641,204,776,-,191,289,128,133,231,-,8,8,809,947,141,78,52,206,17,36,52,1008,10,0,226,28,21,186,20,8,7
Tana Toraja,11443,104,-,49,245,278,-,9,237,410,3436,186,541,-,1346,283,480,-,-,-,-,34,1401,193,12,-,1,19,-,51,36,1871,1,-,34,-,67,117,-,-,-
Luwu Utara,15802,216,-,1350,20,1967,69,381,2014,466,3334,675,1381,-,189,438,176,40,39,9,-,18,589,845,32,36,63,377,-,-,28,639,74,8,65,45,30,160,13,-,15
Luwu Timur,18232,549,-,663,1179,2289,1,-,965,777,2800,536,1568,-,133,924,81,290,453,-,16,8,1394,2034,165,132,33,143,-,-,9,432,7,41,191,-,46,365,3,-,5
Toraja Utara,13655,129,-,78,143,200,38,-,443,372,5008,102,501,-,1475,68,1080,-,-,39,-,-,1573,257,-,5,134,100,1,13,8,1529,16,-,164,-,57,103,18,-,2
Kota Makasar,23317,787,-,458,1980,2190,215,419,2364,1939,4305,159,631,-,97,704,209,578,668,9,38,41,920,2454,788,266,58,230,11,23,36,385,30,-,95,17,75,102,19,14,5
Kota Parepare,15925,330,-,737,1096,2019,8,21,586,561,2171,76,99,-,87,735,10,467,406,-,-,41,2751,1907,570,22,5,22,2,16,444,382,-,-,69,8,42,199,28,3,5
Kota Palopo,17731,312,-,514,280,2246,91,1771,1396,1243,2691,32,491,-,96,147,24,473,400,42,33,25,1925,1863,202,85,101,147,-,3,5,625,63,-,238,-,10,150,7,-,1
Buton,11273,966,-,1341,357,587,353,3809,559,190,32,-,92,-,-,6,15,390,555,-,31,-,917,103,569,199,10,5,-,-,17,74,63,-,-,-,-,10,-,22,-
Muna,13313,547,-,205,191,874,70,824,4817,409,133,45,74,-,-,2,4,664,106,17,26,4,3041,106,699,57,20,33,2,15,29,45,1,-,-,-,-,255,0,-,-
Konawe,17672,1564,-,663,460,2893,86,261,1914,919,1693,798,1383,-,26,211,254,91,373,10,32,8,1359,676,607,70,24,35,22,105,320,397,46,20,0,12,29,308,3,-,-
Kolaka,18901,829,-,394,52,3660,110,383,3268,946,2556,123,623,-,39,57,203,915,368,0,8,20,1500,1329,515,27,25,70,34,8,30,525,-,7,21,2,7,186,34,28,-
Konawe Selatan,14295,881,-,767,268,2599,120,387,2627,367,1310,295,410,-,8,123,101,176,413,77,-,2,783,575,536,241,63,10,28,33,152,280,149,26,16,34,45,306,4,80,3
Bombana,17451,579,-,237,174,2987,158,1042,1595,80,1486,72,275,-,10,106,56,2333,748,141,120,12,2874,1043,698,166,10,20,7,7,10,92,63,3,7,-,-,237,1,-,-
Wakatobi,16200,1623,-,2336,760,2016,329,1329,1206,30,65,-,-,-,-,-,37,1871,1865,6,17,-,1381,219,514,123,147,-,82,-,18,-,14,-,-,-,-,210,-,-,-
Kolaka Utara,17606,632,-,319,96,3506,27,1371,871,489,3199,52,520,-,18,238,-,404,403,-,179,97,2214,1294,543,78,87,32,10,4,23,536,42,9,80,-,15,191,15,-,12
Buton Utara,15989,494,-,1147,526,1521,203,4284,1075,166,35,29,25,-,-,-,113,1134,1028,31,8,8,1856,364,440,551,157,6,-,-,360,68,156,6,-,-,-,155,-,44,-
Konawe Utara,22954,1626,-,500,180,3323,204,271,3333,733,1960,645,1568,-,22,65,38,627,416,7,131,-,2123,1257,1149,642,200,72,203,22,138,333,124,36,35,81,40,744,11,67,28
Kolaka Timur,17059,634,-,495,286,2497,75,102,1546,602,2580,1173,1726,-,155,90,153,26,22,-,-,8,2659,509,489,36,5,47,36,15,45,591,80,8,-,21,10,308,31,-,-
Konawe Kepulauan,13565,972,-,1844,160,2159,143,597,1872,613,34,18,4,-,-,-,26,605,231,10,34,34,2059,39,1298,214,112,98,9,-,3,10,-,-,4,6,16,311,5,27,1
Muna Barat,12062,1415,-,101,155,1123,307,261,1960,194,202,56,289,-,-,19,40,62,241,-,38,-,4304,198,244,62,-,33,72,14,77,122,19,-,-,2,-,414,-,30,8
Buton Tengah,13759,343,-,609,113,1242,79,1377,2366,158,160,3,-,-,-,19,20,2278,1457,-,72,-,2379,321,303,320,8,-,1,-,-,18,17,-,-,-,-,93,-,-,-
Buton Selatan,10783,1119,-,1892,426,1677,83,1760,665,217,1,2,-,-,-,-,15,516,399,12,-,-,1104,4,477,26,94,5,-,2,130,26,3,-,-,-,11,87,13,15,1
Kota Kendari,22420,1735,-,710,968,4156,179,495,3336,1129,1101,57,143,-,-,5,3,922,675,-,313,59,2525,1948,1090,90,-,-,27,1,74,249,14,-,23,1,42,272,12,27,38
Kota Baubau,16987,1050,-,960,1010,1501,51,3674,1616,341,80,1,11,-,10,-,30,1043,484,-,-,9,3725,588,561,103,27,-,-,-,16,50,-,-,9,-,-,34,-,3,-
Boalemo,14734,777,-,1473,522,3328,48,1503,317,1082,195,28,551,-,32,399,118,302,722,30,6,7,547,313,1213,48,14,92,-,25,179,748,3,-,7,-,33,63,-,7,-
Gorontalo,16247,666,-,600,565,2772,78,2287,257,419,166,201,1217,-,55,1098,32,74,24,-,-,13,2220,395,683,25,-,3,7,46,731,923,9,-,-,-,129,495,10,14,35
Pohuwato,15517,1184,-,877,394,2402,56,1546,1094,917,964,251,1043,-,17,250,76,516,532,-,-,35,1058,529,818,63,49,91,11,12,141,467,13,-,6,-,53,18,4,28,-
Bone Bolango,13992,512,-,759,1720,1512,26,2985,683,245,36,1,787,-,8,605,56,142,35,-,-,-,1960,359,585,4,-,17,-,-,55,350,9,-,1,-,106,432,-,-,2
Gorontalo Utara,15805,1267,-,688,266,4380,83,1499,731,1077,82,5,222,-,19,98,17,297,606,-,-,23,1698,716,377,-,3,5,15,14,374,1090,37,-,-,-,107,4,-,6,-
Kota Gorontalo,19399,1953,-,754,2831,3295,69,3484,349,310,67,131,1183,-,0,501,6,108,38,-,-,6,1958,531,778,32,-,29,-,7,196,304,23,-,-,-,69,385,-,-,0
Majene,12760,321,-,2406,590,2204,58,2425,692,300,46,3,13,-,-,131,-,256,132,-,-,48,1921,209,289,23,3,120,4,6,122,99,90,2,5,-,-,233,-,-,6
Polewali Mandar,13246,286,-,1025,868,1683,63,869,800,518,1785,31,154,-,8,530,4,99,141,-,10,19,1233,755,284,164,21,18,29,13,584,528,98,107,115,-,-,368,1,8,27
Mamasa,9325,51,-,51,126,816,11,116,124,159,3311,174,180,-,305,255,4,19,15,-,-,16,151,27,44,-,21,7,51,48,241,1804,64,14,91,-,38,936,-,-,54
Mamuju,15682,468,-,1335,569,5026,106,242,937,592,1641,229,309,-,59,217,52,281,186,-,4,89,991,686,306,17,19,30,20,21,511,331,-,7,73,9,17,279,-,-,26
Mamuju Utara,17818,1917,-,892,263,3472,82,1135,981,230,2570,381,230,-,19,149,110,306,354,-,19,62,676,1429,835,28,48,56,41,60,534,483,50,5,166,35,30,161,7,-,5
Mamuju Tengah,16271,934,-,710,403,3282,54,630,1579,356,2524,705,536,-,67,436,127,290,391,10,4,84,651,817,343,145,49,8,81,5,198,400,70,4,129,12,3,231,3,-,-
Maluku Tenggara Barat,17177,2282,-,515,276,378,1012,936,1964,350,127,25,1,-,-,6,64,4387,3054,62,-,-,919,143,412,47,24,65,17,14,2,2,1,1,6,-,7,66,-,11,-
Maluku Tenggara,15264,1076,-,1578,69,470,220,442,1111,694,8,8,-,-,-,-,21,1521,1445,6,19,320,5822,-,200,28,74,0,-,-,29,55,-,-,-,-,5,8,-,24,11
Maluku Tengah,16770,277,-,2253,575,2412,165,2410,1135,39,511,31,-,-,-,-,25,344,130,-,10,26,5255,14,539,3,-,16,-,-,451,29,-,-,66,-,-,52,-,0,-
Buru,13740,848,-,1594,689,1903,31,1445,2027,282,57,201,442,-,8,95,26,869,119,-,50,11,2537,11,151,-,8,2,13,-,110,112,3,-,-,-,-,61,30,7,-
Kepulauan Aru,18849,1524,-,584,87,1682,354,-,3076,76,-,-,-,-,-,-,-,1677,688,-,-,-,6942,561,412,685,60,61,3,-,-,8,-,-,-,-,-,366,6,-,-
Seram Bagian Barat,14703,1073,-,543,647,1940,32,1948,2766,117,7,26,-,-,12,-,-,63,170,20,13,31,3859,13,270,46,-,18,2,-,704,-,69,-,-,-,-,312,-,1,-
Seram Bagian Timur,15142,579,-,2349,778,1657,73,942,2052,1,7,19,17,-,-,142,14,861,293,-,22,34,3816,75,368,76,14,360,4,0,213,60,51,-,-,0,12,228,-,26,-
Maluku Barat Daya,17734,2556,-,1914,227,580,161,202,212,-,-,6,10,-,2,-,128,5049,939,21,-,141,4783,116,308,37,15,163,-,11,4,32,-,-,-,-,13,94,-,10,-
Buru Selatan,11846,351,-,1300,608,1614,28,441,689,-,-,20,27,-,-,-,-,692,80,-,-,16,4977,19,147,-,-,-,-,-,660,-,42,-,-,-,-,126,-,7,-
Kota Ambon,17569,579,-,1921,851,1817,139,2813,426,430,2,32,-,-,-,13,-,77,9,-,-,19,6913,148,477,45,-,6,-,15,656,74,-,-,-,-,25,83,-,-,-
Kota Tual,16859,1160,-,1665,65,440,84,745,993,682,-,-,-,-,-,20,8,2827,1518,1,-,149,5803,30,346,31,121,49,-,-,25,9,-,-,17,-,11,13,-,46,-
Halmahera Barat,17786,1869,-,2574,928,4779,168,653,1433,565,-,59,263,-,-,295,9,577,23,-,40,63,1490,12,412,-,-,12,6,39,640,463,90,-,-,-,18,274,-,-,31
Halmahera Tengah,19169,2369,-,982,1138,5042,162,2721,1464,40,23,95,204,-,17,32,-,905,500,2,150,6,1864,132,454,-,-,41,33,60,542,102,12,-,-,-,72,3,-,-,-
Kepulauan Sula,11422,729,-,950,257,2855,71,1153,1846,71,8,-,-,-,11,27,-,1268,296,-,-,6,1137,210,240,-,-,-,12,11,96,53,24,1,-,-,20,65,-,4,-
Halmahera Selatan,17850,1121,-,2063,171,5984,24,2015,872,229,-,-,-,-,-,-,-,1949,148,-,-,-,1895,16,203,-,50,-,5,3,650,132,0,-,-,-,-,322,-,-,-
Halmahera Utara,21115,2853,-,4020,1455,3910,159,933,1204,433,7,193,613,-,53,936,83,934,53,20,-,-,1405,240,667,43,3,14,4,26,299,419,-,-,4,-,71,-,55,4,-
Halmahera Timur,18784,1187,-,3313,541,4722,103,105,3564,301,-,-,98,-,28,218,36,532,248,-,48,-,2149,91,734,23,21,51,37,-,101,417,18,-,-,-,57,15,-,28,-
Pulau Morotai,21060,4419,-,1421,1409,6426,131,522,400,25,6,19,125,-,-,21,2,880,44,9,-,4,3849,392,209,269,3,17,-,8,203,198,8,-,-,-,28,13,-,-,-
Pulau Taliabu,13951,1509,-,2150,418,3927,72,423,1037,254,-,71,25,-,-,-,27,1516,1473,-,-,-,352,-,358,237,-,-,-,-,10,24,6,-,-,-,-,60,-,-,2
Kota Ternate,20732,2354,-,1152,922,6242,260,1736,2249,178,-,-,231,-,10,50,10,1026,241,-,-,4,1665,155,532,-,-,-,6,50,1134,433,44,-,-,-,6,43,-,-,-
Kota Tidore Kepulauan,23278,2428,-,4768,595,6264,233,1761,1309,225,4,28,-,-,-,-,1,314,157,-,-,12,2775,-,249,-,-,215,-,52,967,421,11,-,-,-,3,482,-,-,6
Fakfak,23634,2906,-,3354,1193,1669,1072,815,2573,460,57,105,489,-,7,177,234,2995,412,41,509,395,1280,814,635,416,133,84,54,88,227,69,52,-,-,-,63,251,6,-,-
Kaimana,20605,1035,-,392,179,2086,763,72,3268,288,8,126,-,-,-,-,136,2744,162,-,7,337,5167,1660,300,684,398,37,17,134,87,120,-,-,-,2,88,306,-,-,-
Teluk Wondama,22497,2132,-,96,505,4905,1611,1818,3121,361,72,619,495,-,30,147,67,1908,380,3,3,178,2104,382,875,249,110,74,12,-,101,9,7,-,-,-,99,22,-,4,-
Teluk Bintuni,27866,3632,-,412,378,1168,351,20,2874,127,513,2014,2422,-,405,679,949,2676,47,-,-,223,4076,2762,181,718,97,50,54,27,57,386,26,6,50,84,252,126,28,-,-
Manokwari,24739,6185,-,989,1678,5027,546,805,1063,211,190,294,2812,-,23,17,832,813,1,-,-,19,976,953,442,68,42,-,-,29,137,235,12,-,1,-,70,139,46,82,4
Sorong Selatan,18437,1384,-,33,202,119,11,80,1107,48,122,3516,798,-,411,322,872,1192,18,172,213,178,4206,2378,2,367,264,48,63,30,114,5,-,-,-,25,88,46,-,-,-
Sorong,18955,2554,-,699,645,1367,74,311,3158,835,8,1460,938,-,27,253,759,961,296,335,103,11,1297,1220,524,378,109,198,85,14,23,191,12,-,-,-,78,9,11,14,-
Raja Ampat,18965,2229,-,272,590,3452,1374,252,941,380,7,18,32,-,-,-,41,5077,930,12,1266,10,91,167,830,152,215,60,95,151,71,40,-,-,-,-,22,181,-,5,-
Tambrauw,11353,1139,-,265,1628,524,92,-,1512,-,37,1396,769,-,-,3,1509,525,279,49,131,2,639,1,-,-,5,473,-,-,3,150,-,-,-,10,147,63,-,-,-
Maybrat,35052,1966,-,4,94,162,30,17,2832,-,57,4903,4731,-,12645,2402,1394,-,-,6,52,23,2616,493,-,12,42,47,-,-,12,17,-,-,-,-,485,9,-,-,-
Manokwari Selatan,25111,3307,-,1223,1310,4040,750,629,1498,16,88,658,2616,-,310,15,286,1435,88,-,-,2034,1515,199,345,238,118,1266,-,50,33,44,27,-,-,-,849,100,3,23,-
